BL_time, 0.114
shap_time, 0.071
rlf_time, 95.501
Number of features selected by BL, 8
linear time, 5.815
rf time, 8.894
svr time, 5.939
ann time, 12.032
lgbm time, 7.252
bl time, 5.827
#
 0,                    bl,RLF, -5.00, 159.00,    ---              *                -  
 0,                   bl,SHAP, 35.00, 49.00, --------------------|       * --------- 
#
 1,                     rf,BL, 86.00,  1.00,                     |                 * 
#
 2,                   lgbm,BL, 87.00,  0.00,                     |                 * 
#
 3,                    ann,BL, 88.00,  1.00,                     |                 -*
 3,                   ann,RLF, 88.00,  4.00,                     |               -- *
#
 4,                   rf,SHAP, 89.00,  2.00,                     |                  *
 4,                    rf,RLF, 89.00,  1.00,                     |                  *
 4,                  ann,SHAP, 89.00,  0.00,                     |                  *
 4,                  lgbm,RLF, 89.00,  1.00,                     |                 -*
 4,                     bl,BL, 89.00, 16.00,       --------------|---------------   *
#
 5,                 linear,BL, 90.00,  1.00,                     |                  *
 5,               linear,SHAP, 90.00,  1.00,                     |                  *
 5,                linear,RLF, 90.00,  1.00,                     |                  *
 5,                    svr,BL, 90.00,  0.00,                     |                  *
 5,                  svr,SHAP, 90.00,  0.00,                     |                  *
 5,                   svr,RLF, 90.00,  1.00,                     |                  *
 5,                 lgbm,SHAP, 90.00,  1.00,                     |                 -*
