RLF_linear,SHAP_linear,BL_linear,anova_linear,all_linear,RLF_rf,SHAP_rf,BL_rf,anova_rf,all_rf,RLF_svr,SHAP_svr,BL_svr,anova_svr,all_svr,RLF_ann,SHAP_ann,BL_ann,anova_ann,all_ann,RLF_lgbm,SHAP_lgbm,BL_lgbm,anova_lgbm,all_lgbm,RLF_bl,SHAP_bl,BL_bl,anova_bl,all_bl,data,x*,x,y,budget,rows
 93.00, 93.00, 93.00, 93.00, 93.00, 97.00, 97.00, 97.00, 97.00, 97.00, 97.00, 97.00, 97.00, 97.00, 97.00, 90.00, 91.00, 91.00, 91.00, 91.00, 93.00, 93.00, 93.00, 93.00, 93.00,,,,,,SS-A,3,3,2,150,1344
 84.00, 84.00, 84.00, 84.00, 84.00, 74.00, 74.00, 74.00, 74.00, 74.00, 77.00, 77.00, 77.00, 77.00, 77.00, 84.00, 84.00, 84.00, 84.00, 84.00, 84.00, 84.00, 84.00, 84.00, 84.00,,,,,,SS-B,2,3,2,80,207
 80.00, 80.00, 80.00, 80.00, 80.00, 87.00, 87.00, 87.00, 87.00, 87.00, 84.00, 84.00, 84.00, 84.00, 84.00, 79.00, 79.00, 80.00, 79.00, 83.00, 84.00, 84.00, 84.00, 84.00, 84.00,,,,,,SS-C,3,3,2,150,1513
 73.00, 73.00, 73.00, 73.00, 73.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 52.00, 52.00, 52.00, 64.00, 52.00, 77.00, 77.00, 77.00, 77.00, 77.00,,,,,,SS-D,3,3,2,75,197
 82.00, 82.00, 82.00, 82.00, 82.00, 96.00, 96.00, 96.00, 96.00, 96.00, 97.00, 97.00, 97.00, 97.00, 97.00, 92.00, 92.00, 92.00, 92.00, 92.00, 97.00, 97.00, 97.00, 97.00, 97.00,,,,,,SS-E,3,3,2,150,757
 52.00, 78.00, 78.00, 75.00, 76.00, 83.00, 75.00, 75.00, 83.00, 83.00, 83.00, 83.00, 83.00, 83.00, 83.00, 58.00, 73.00, 80.00, 83.00, 79.00, 98.00, 98.00, 98.00, 97.00, 98.00,,,,,,SS-F,2,3,2,75,197
 57.00, 77.00, 77.00, 76.00, 76.00, 76.00, 76.00, 76.00, 75.00, 76.00, 82.00, 81.00, 81.00, 82.00, 82.00, 58.00, 62.00, 60.00, 57.00, 68.00, 93.00, 91.00, 91.00, 91.00, 93.00,,,,,,SS-G,2,3,2,75,197
 94.00, 99.00, 99.00, 99.00, 95.00, 93.00, 99.00, 99.00, 99.00, 99.00, 78.00, 99.00, 99.00, 99.00, 99.00, 94.00, 97.00, 98.00, 97.00, 97.00, 80.00, 99.00, 99.00, 99.00, 99.00,,,,,,wc+rs-3d-c4-obj1,2,3,1,75,197
 95.00, 96.00, 99.00, 99.00, 95.00, 94.00, 100.00, 100.00, 100.00, 100.00, 85.00, 99.00, 99.00, 99.00, 99.00, 95.00, 99.00, 99.00, 99.00, 99.00, 94.00, 99.00, 99.00, 99.00, 99.00,,,,,,wc+sol-3d-c4-obj1,2,3,1,75,197
 94.00, 99.00, 96.00, 99.00, 95.00, 94.00, 99.00, 99.00, 99.00, 99.00, 94.00, 99.00, 99.00, 99.00, 99.00, 94.00, 98.00, 98.00, 98.00, 98.00, 94.00, 99.00, 99.00, 99.00, 99.00,,,,,,wc+wc-3d-c4-obj1,2,3,1,75,197
 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 82.00, 82.00, 69.00, 82.00, 68.00, 100.00, 100.00, 100.00, 100.00, 100.00,,,,,,SS-H,2,4,2,100,260
 98.00, 98.00, 98.00, 98.00, 98.00, 99.00, 99.00, 99.00, 99.00, 99.00, 40.00, 40.00, 40.00, 40.00, 40.00, 98.00, 98.00, 98.00, 98.00, 98.00, 99.00, 99.00, 99.00, 99.00, 99.00,,,,,,SS-I,5,5,2,150,1081
 94.00, 94.00, 94.00, 94.00, 94.00, 81.00, 81.00, 81.00, 81.00, 81.00, 79.00, 79.00, 79.00, 81.00, 81.00, 77.00, 78.00, 79.00, 79.00, 77.00, 80.00, 80.00, 80.00, 79.00, 79.00,,,,,,auto93,3,5,3,150,399
 36.00, 36.00, 36.00, 36.00, 36.00, 57.00, 57.00, 57.00, 57.00, 57.00, 49.00, 49.00, 49.00, 49.00, 49.00, 38.00, 38.00, 38.00, 38.00, 38.00, 66.00, 66.00, 66.00, 66.00, 66.00,,,,,,healthCloseIsses12mths0001-hard,5,5,3,150,10001
 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00,,,,,,healthCloseIsses12mths0011-easy,4,5,3,150,10001
 97.00, 96.00, 97.00, 96.00, 97.00, 96.00, 94.00, 96.00, 94.00, 96.00, 95.00, 94.00, 95.00, 94.00, 94.00, 96.00, 96.00, 96.00, 96.00, 95.00, 96.00, 95.00, 96.00, 95.00, 96.00,,,,,,SS-J,5,6,2,150,3841
 62.00, 62.00, 62.00, 62.00, 61.00, 98.00, 98.00, 98.00, 98.00, 98.00, 102.00, 102.00, 102.00, 102.00, 94.00, 89.00, 90.00, 89.00, 90.00, 90.00, 96.00, 96.00, 96.00, 96.00, 96.00,,,,,,SS-K,5,6,2,150,2881
 100.00, 96.00, 100.00, 96.00, 99.00, 99.00, 100.00, 99.00, 100.00, 100.00, 99.00, 94.00, 99.00, 94.00, 100.00, 91.00, 97.00, 78.00, 78.00, 92.00, 100.00, 100.00, 100.00, 100.00, 100.00,,,,,,SS-S,5,6,2,150,3841
 100.00, 100.00, 100.00, 100.00, 100.00, 99.00, 100.00, 100.00, 99.00, 100.00, 99.00, 99.00, 99.00, 99.00, 99.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00,,,,,,rs-6d-c3_obj1,5,6,1,150,3841
 99.00, 99.00, 99.00, 100.00, 99.00, 100.00, 100.00, 100.00, 99.00, 100.00, 96.00, 99.00, 96.00, 97.00, 99.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00,,,,,,rs-6d-c3_obj2,5,6,1,150,3841
 93.00, 93.00, 93.00, 93.00, 93.00, 94.00, 95.00, 95.00, 95.00, 94.00, 94.00, 94.00, 94.00, 94.00, 94.00, 94.00, 94.00, 94.00, 94.00, 94.00, 94.00, 94.00, 94.00, 94.00, 94.00,,,,,,sol-6d-c2-obj1,5,6,1,150,2867
 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00,,,,,,wc-6d-c1-obj1,4,6,1,150,2881
 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 100.00, 100.00, 95.00, 100.00, 95.00, 95.00, 95.00, 95.00, 95.00,,,,,,Apache_AllMeasurements,4,9,1,75,193
 93.00, 93.00, 88.00, 93.00, 93.00, 87.00, 87.00, 92.00, 87.00, 87.00, 88.00, 88.00, 87.00, 88.00, 87.00, 81.00, 67.00, 64.00, 75.00, 77.00, 87.00, 90.00, 88.00, 90.00, 88.00,,,,,,pom3a,7,9,3,150,20001
 87.00, 88.00, 83.00, 88.00, 88.00, 87.00, 83.00, 83.00, 86.00, 84.00, 83.00, 87.00, 87.00, 87.00, 90.00, 72.00, 70.00, 76.00, 69.00, 72.00, 85.00, 87.00, 87.00, 85.00, 87.00,,,,,,pom3b,6,9,3,150,20001
 79.00, 79.00, 70.00, 79.00, 79.00, 78.00, 73.00, 75.00, 78.00, 73.00, 79.00, 79.00, 78.00, 79.00, 78.00, 54.00, 43.00, 42.00, 54.00, 51.00, 73.00, 68.00, 71.00, 73.00, 73.00,,,,,,pom3c,7,9,3,150,20001
 89.00, 89.00, 89.00, 89.00, 89.00, 85.00, 85.00, 85.00, 85.00, 85.00, 82.00, 85.00, 82.00, 82.00, 82.00, 83.00, 88.00, 73.00, 82.00, 81.00, 88.00, 88.00, 76.00, 85.00, 82.00,,,,,,pom3d,7,9,3,150,501
