BL time,	0.219
anova time,	0.001
shap time,	35.555
rlf time,	10.671
---------------------
Number of features selected by BL, 5
BL features,	Max_spout, Counters, Spouts, Spout_wait, Spliters
shap features,	Max_spout, Counters, Spout_wait, Spouts, Spliters
anova features,	Counters, Spout_wait, Spliters, Spouts, Max_spout
rlf features,	Max_spout, Counters, Spouts, Spliters, Spout_wait
---------------------
linear time, 11.164
rf time, 38.509
svr time, 16.806
ann time, 32.226
lgbm time, 14.195
#
 0,                linear,all, 61.00, 25.00,         --         *| ----              
 0,                 linear,BL, 62.00, 13.00,         ---------   *  -----            
 0,               linear,SHAP, 62.00, 13.00,         ---------   *  -----            
 0,                linear,RLF, 62.00, 13.00,         ---------   *  -----            
 0,              linear,anova, 62.00, 13.00,         ---------   *  -----            
#
 1,                    ann,BL, 83.00, 10.00,                     |    ---- *  -      
 1,                  ann,SHAP, 90.00, 10.00,                     |     ----   *-     
 1,                   ann,all, 90.00,  9.00,                     |            *      
 1,                 ann,anova, 90.00,  9.00,                     |     ---    *      
#
 2,                   ann,RLF, 91.00,  4.00,                     |     ------ *--    
#
 3,                   svr,all, 94.00, 12.00,                     |          -   *  - 
#
 4,                   lgbm,BL, 96.00,  4.00,                     |             - *-- 
 4,                 lgbm,SHAP, 96.00,  4.00,                     |             - *-- 
 4,                  lgbm,RLF, 96.00,  4.00,                     |             - *-- 
 4,                  lgbm,all, 96.00,  4.00,                     |             - *-- 
 4,                lgbm,anova, 96.00,  4.00,                     |             - *-- 
 4,                     rf,BL, 98.00,  4.00,                     |             -  *- 
 4,                   rf,SHAP, 98.00,  4.00,                     |             -  *- 
 4,                    rf,RLF, 98.00,  4.00,                     |             -  *- 
 4,                    rf,all, 98.00,  4.00,                     |             -  *- 
 4,                  rf,anova, 98.00,  4.00,                     |             -  *- 
#
 5,                    svr,BL, 102.00,  6.00,                     |             --   *
 5,                  svr,SHAP, 102.00,  6.00,                     |             --   *
 5,                   svr,RLF, 102.00,  6.00,                     |             --   *
 5,                 svr,anova, 102.00,  6.00,                     |             --   *
