RLF_linear,RLF_rf,RLF_svr,RLF_ann,RLF_lgbm,RLF_bl,SHAP_linear,SHAP_rf,SHAP_svr,SHAP_ann,SHAP_lgbm,SHAP_bl,BL_linear,BL_rf,BL_svr,BL_ann,BL_lgbm,BL_bl,data
0,3,4,3,3,3,1,4,2,3,4,4,1,4,2,3,4,3,Apache_AllMeasurements
3,3,2,2,2,0,3,3,2,1,2,0,3,3,2,2,2,0,auto93
1,3,3,2,3,0,3,5,3,4,5,2,6,6,6,5,7,3,billing10k
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coc1000
2,2,1,1,1,0,6,6,5,4,6,3,6,6,6,5,6,2,FFM-125-25-0
3,2,2,1,3,0,6,7,7,7,6,2,5,7,3,4,7,2,FFM-250-50-0
3,3,3,3,3,1,3,3,3,3,3,0,2,3,2,2,3,1,FFM-500-100-0
,,,,,,,,,,,,,,,,,,FM-500-100-0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthCloseIsses12mths0001-hard
1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,healthCloseIsses12mths0011-easy
4,1,3,2,1,0,8,7,7,6,8,5,8,9,7,5,9,6,HSMGP_num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nasa93dem
0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,pom3a
0,0,1,2,2,2,1,0,1,2,0,2,2,1,1,2,0,2,pom3b
0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,pom3c
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pom3d
0,3,2,1,4,2,2,7,5,6,7,1,2,7,5,6,7,5,rs-6d-c3_obj1
3,6,1,5,6,4,3,6,2,0,6,4,3,6,1,0,6,4,rs-6d-c3_obj2
2,3,2,3,2,0,6,6,6,5,6,0,6,5,5,4,5,1,Scrum10k
2,2,2,1,2,0,5,4,4,4,4,0,4,3,3,4,3,2,Scrum1k
0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,sol-6d-c2-obj1
0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,SQL_AllMeasurements
3,4,2,1,5,0,3,4,2,1,5,0,3,4,2,1,5,0,SS-A
0,1,1,0,2,0,0,1,1,1,2,0,0,1,1,1,2,0,SS-B
0,4,3,1,4,2,0,4,3,0,4,2,0,4,3,0,4,2,SS-C
0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,SS-D
0,4,3,1,5,0,0,4,3,2,5,0,0,4,3,0,5,0,SS-E
0,3,1,3,3,2,0,3,1,3,3,2,0,3,1,0,3,2,SS-F
4,3,1,0,4,2,4,3,1,0,4,2,4,3,1,0,4,2,SS-G
1,4,2,0,4,1,1,4,2,0,4,1,1,3,2,0,2,1,SS-H
1,2,1,0,2,0,1,2,1,1,2,0,1,2,1,0,2,0,SS-I
4,3,1,4,1,2,4,3,1,3,4,0,4,3,1,3,1,1,SS-J
3,6,5,3,6,0,3,6,5,2,6,0,3,6,5,4,6,1,SS-K
4,4,3,3,3,1,4,4,4,3,4,0,4,3,3,3,3,2,SS-L
4,5,5,3,5,3,1,0,1,2,0,0,3,6,3,3,6,6,SS-M
0,2,3,4,2,0,0,4,4,4,4,0,0,0,0,0,0,1,SS-O
2,2,1,1,1,0,2,2,2,2,2,0,2,1,1,1,1,2,SS-P
0,2,0,0,0,0,1,8,4,6,7,5,2,8,3,5,7,8,SS-Q
4,4,2,4,5,1,3,3,4,3,4,0,2,5,4,3,6,2,SS-R
3,3,2,1,4,1,2,5,0,2,5,1,3,3,2,1,4,1,SS-S
2,1,2,1,1,0,4,6,3,5,6,5,4,7,5,5,7,5,SS-T
4,3,2,4,4,0,3,3,4,4,3,0,4,1,4,4,1,2,SS-U
1,1,1,1,2,0,4,5,5,4,4,0,4,5,3,3,4,3,SS-V
3,2,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,SS-X
0,4,2,1,4,3,0,4,2,2,4,3,0,4,2,2,4,3,wc+rs-3d-c4-obj1
0,2,0,1,2,2,0,2,0,0,2,2,0,2,0,1,2,2,wc+sol-3d-c4-obj1
0,3,1,1,3,2,0,3,1,1,3,2,0,3,1,1,3,2,wc+wc-3d-c4-obj1
2,6,4,3,5,3,2,6,4,1,5,3,2,4,3,0,4,3,wc-6d-c1-obj1
0,3,0,0,1,1,0,3,0,0,2,0,0,3,0,0,2,0,Wine_quality
2,2,3,2,2,0,5,5,5,4,5,1,6,6,5,5,6,6,X264_AllMeasurements
3,6,5,2,7,0,4,6,5,3,8,1,5,6,5,3,7,0,xomo_flight
5,6,5,3,7,1,5,7,5,3,8,0,5,6,4,2,6,0,xomo_ground
1,5,2,1,5,0,3,6,3,2,6,0,2,4,2,1,4,0,xomo_osp
5,5,2,1,6,0,7,5,4,5,7,0,6,6,3,1,5,0,xomo_osp2
