BL time,	0.828
anova time,	0.001
shap time,	18.706
rlf time,	0.296
---------------------
Number of features selected by BL, 2
BL features,	Max_spout, Counters
shap features,	Max_spout, Counters
anova features,	Max_spout, Counters
rlf features,	Spliters, Counters
---------------------
linear time, 0.963
rf time, 9.603
svr time, 1.0
ann time, 15.302
lgbm time, 2.691
bl time, 3.999
asIs time, 0.007
#
 0,                      asIs,  6.00, 37.00,                 ----|-    *------------ 
#
 1,                   svr,RLF, 78.00, 23.00,                     |              -*   
 1,                  lgbm,RLF, 80.00, 26.00,                     |              - *  
 1,                    rf,RLF, 93.00, 21.00,                     |                 * 
 1,                linear,RLF, 94.00,  1.00,                     |               ---*
 1,                   ann,RLF, 94.00,  1.00,                     |               ---*
#
 2,                linear,all, 95.00,  2.00,                     |                  *
 2,                  ann,SHAP, 97.00,  4.00,                     |               ---*
 2,                   ann,all, 97.00,  4.00,                     |                  *
 2,                 ann,anova, 97.00,  4.00,                     |                  *
#
 3,                    ann,BL, 98.00,  4.00,                     |                  *
#
 4,                 linear,BL, 99.00,  2.00,                     |                  *
 4,               linear,SHAP, 99.00,  2.00,                     |                  *
 4,              linear,anova, 99.00,  2.00,                     |                  *
 4,                     rf,BL, 99.00,  0.00,                     |                  *
 4,                   rf,SHAP, 99.00,  0.00,                     |                  *
 4,                    rf,all, 99.00,  0.00,                     |                  *
 4,                  rf,anova, 99.00,  0.00,                     |                  *
 4,                    svr,BL, 99.00,  0.00,                     |                  *
 4,                  svr,SHAP, 99.00,  0.00,                     |                  *
 4,                   svr,all, 99.00,  0.00,                     |                  *
 4,                 svr,anova, 99.00,  0.00,                     |                  *
 4,                   lgbm,BL, 99.00,  0.00,                     |                  *
 4,                 lgbm,SHAP, 99.00,  0.00,                     |                  *
 4,                  lgbm,all, 99.00,  0.00,                     |                  *
 4,                lgbm,anova, 99.00,  0.00,                     |                  *
 4,                     bl,BL, 99.00,  0.00,                     |                  *
 4,                   bl,SHAP, 99.00,  0.00,                     |                  *
 4,                    bl,RLF, 99.00,  0.00,                     |                  *
 4,                    bl,all, 99.00,  0.00,                     |                  *
 4,                  bl,anova, 99.00,  0.00,                     |                  *
