BL time,	0.027
anova time,	0.001
shap time,	23.039
rlf time,	0.289
---------------------
Number of features selected by BL, 3
BL features,	Max_spout, Counters, Spliters
shap features,	Max_spout, Counters, Spliters
anova features,	Max_spout, Counters, Spliters
rlf features,	Spliters, Counters, Max_spout
---------------------
linear time, 0.934
rf time, 10.144
svr time, 0.999
ann time, 14.504
lgbm time, 2.701
bl time, 3.993
asIs time, 0.007
#
 0,                      asIs,  3.00, 41.00,           ----      *  ---------------  
#
 1,                 linear,BL, 95.00,  4.00,                     |                 * 
 1,               linear,SHAP, 95.00,  4.00,                     |                 * 
 1,                linear,RLF, 95.00,  4.00,                     |                 * 
 1,                linear,all, 95.00,  4.00,                     |                 * 
 1,              linear,anova, 95.00,  4.00,                     |                 * 
#
 2,                    svr,BL, 99.00,  1.00,                     |                  *
 2,                  svr,SHAP, 99.00,  1.00,                     |                  *
 2,                   svr,RLF, 99.00,  1.00,                     |                  *
 2,                   svr,all, 99.00,  1.00,                     |                  *
 2,                 svr,anova, 99.00,  1.00,                     |                  *
 2,                    ann,BL, 99.00,  4.00,                     |                  *
 2,                  ann,SHAP, 99.00,  4.00,                     |                  *
 2,                   ann,RLF, 99.00,  4.00,                     |                - *
 2,                   ann,all, 99.00,  4.00,                     |                - *
 2,                 ann,anova, 99.00,  4.00,                     |                - *
 2,                   lgbm,BL, 99.00,  1.00,                     |                  *
 2,                 lgbm,SHAP, 99.00,  1.00,                     |                  *
 2,                  lgbm,RLF, 99.00,  1.00,                     |                  *
 2,                  lgbm,all, 99.00,  1.00,                     |                  *
 2,                lgbm,anova, 99.00,  1.00,                     |                  *
#
 3,                     rf,BL, 100.00,  1.00,                     |                  *
 3,                   rf,SHAP, 100.00,  1.00,                     |                  *
 3,                    rf,RLF, 100.00,  1.00,                     |                  *
 3,                    rf,all, 100.00,  1.00,                     |                  *
 3,                  rf,anova, 100.00,  1.00,                     |                  *
 3,                     bl,BL, 100.00,  1.00,                     |                  *
 3,                   bl,SHAP, 100.00,  1.00,                     |                  *
 3,                    bl,RLF, 100.00,  1.00,                     |                  *
 3,                    bl,all, 100.00,  1.00,                     |                  *
 3,                  bl,anova, 100.00,  1.00,                     |                  *
